ID,Area,Test Case,Expected Result,Status,Notes
S-01,Startup,Launch app/services,No startup errors,,
S-02,Startup,Open launcher,Page loads,,
S-03,Startup,Open staff-login,Page loads,,
S-04,Startup,Open admin-login,Page loads,,
S-05,Startup,Open guest,Page loads,,
S-06,Startup,Open display,Page loads / pair flow shown,,
A-01,Auth,Staff login valid creds,Login success,,
A-02,Auth,Admin login valid creds,Login success,,
A-03,Auth,Invalid login,Error shown and no login,,
A-04,Auth,Logout,Session cleared,,
A-05,Auth,Refresh after login,Session still valid,,
A-06,AuthZ,Non-admin tries admin page,Blocked or redirected,,
R-01,Rate Limit,Guest ticket create >3 in 60s (same IP),HTTP 429 with Retry-After,,
R-02,Rate Limit,Repeated login failures,HTTP 429 after threshold,,
R-03,Rate Limit,Repeated display pair attempts,HTTP 429 after threshold,,
Q-01,Queue,Guest creates regular ticket,Ticket created,,
Q-02,Queue,Guest creates priority ticket,Priority ticket created,,
Q-03,Queue,Staff call next,Next ticket called,,
Q-04,Queue,Staff call again,Called ticket recalled,,
Q-05,Queue,Staff seat called,Status becomes seated,,
Q-06,Queue,Staff skip,Status becomes skipped,,
Q-07,Queue,Staff clear called,Called state cleared,,
Q-08,Queue,Override call with supervisor,Works only with valid supervisor,,
D-01,Display,Generate pair code,Code generated,,
D-02,Display,Pair display with code,Pair success,,
D-03,Display,Refresh/reopen display,Still paired,,
D-04,Display,Revoke pairing,Display deauthorized,,
D-05,Display,Re-pair after revoke,Pair success,,
D-06,Display,Priority called visual/audio,Expected behavior,,
B-01,Business Date,Business date visible across apps,Consistent values,,
B-02,Business Date,Midnight rollover,Date rolls correctly,,
B-03,Staff UI,Close Day button absent,Not visible in staff,,
RP-01,Reports,Generate Custom Summary,Data appears,,
RP-02,Reports,Generate Daily Summary,Data appears,,
RP-03,Reports,Generate Raw Tickets,Data appears,,
RP-04,Reports,Preset scopes (Today/Yesterday/7D/MTD),Correct ranges,,
RP-05,Reports,Pagination,Prev/Next/page size work,,
RP-06,Reports,CSV export naming,Matches agreed format,,
U-01,Upload/Sync,Upload status loads,Status visible,,
U-02,Upload/Sync,Upload with selected preset/scope,Uses selected scope,,
U-03,Upload/Sync,Selected report types upload,Only checked files uploaded,,
U-04,Upload/Sync,OAuth Drive upload,Upload success,,
U-05,Upload/Sync,Drive folders branch/date,Create or reuse correctly,,
U-06,Upload/Sync,Uploaded file naming,Matches agreed format,,
QR-01,QR,WiFi QR preview/download,Works,,
QR-02,QR,Queue QR preview/download,Works,,
QR-03,QR Print,Combined print fits one page,Layout correct,,
SEC-01,Security,Unauth /api/admin/* protected endpoints,401 or 403,,
SEC-02,Security,Public endpoints,/api/public/business-date and /api/public/branch work,,
SEC-03,Security,Display media access,Requires display auth,,
REG-01,Regression,No malformed characters in UI,Clean text,,
REG-02,Regression,Buttons clickable,No blocking overlay,,
REG-03,Regression,Loaders clear,No stuck loading states,,
